epoca,perdida_entrenamiento,precision_entrenamiento,perdida_validacion,precision_validacion
1,2.4930,7.82,2.2551,15.66
2,2.2973,12.03,2.2228,22.89
3,2.2365,15.79,2.1689,19.28
4,2.1985,18.50,2.0851,21.69
5,2.1608,18.50,2.0869,32.53
6,2.1185,19.85,2.0217,30.12
7,2.0879,24.96,1.9837,30.12
8,2.0667,20.75,1.9564,30.12
9,2.0471,23.31,1.8969,26.51
10,2.0014,26.02,1.8617,30.12
11,1.9534,27.07,1.8213,36.14
12,1.9754,25.41,1.7594,36.14
13,1.9324,26.77,1.7510,31.33
14,1.9589,25.56,1.8295,33.73
15,1.9345,28.42,1.8034,30.12
16,1.8908,31.43,1.7207,31.33
17,1.9173,28.87,1.7961,32.53
18,1.9053,31.13,1.7771,34.94
19,1.9017,28.12,1.8451,31.33
20,1.9195,29.62,1.7171,37.35
21,1.8142,34.14,1.7306,32.53
22,1.8099,32.93,1.6707,39.76
23,1.8223,32.48,1.7068,33.73
24,1.7714,33.53,1.6916,39.76
25,1.7657,36.84,1.6704,37.35
26,1.7681,33.83,1.6940,38.55
27,1.7388,35.04,1.6484,38.55
28,1.7426,33.83,1.6645,43.37
29,1.7316,35.64,1.5877,43.37
30,1.7243,36.54,1.6393,39.76
31,1.7751,33.23,1.6927,44.58
32,1.7450,35.19,1.6591,42.17
33,1.7428,36.54,1.6396,39.76
34,1.7219,36.54,1.6664,38.55
35,1.6865,36.69,1.5726,42.17
36,1.7244,35.34,1.6573,37.35
37,1.6515,38.95,1.6033,42.17
38,1.6429,37.89,1.5836,40.96
39,1.7182,35.34,1.5915,40.96
40,1.6584,38.50,1.5600,39.76
41,1.6331,40.90,1.5084,43.37
42,1.6980,36.99,1.6124,36.14
43,1.6474,38.65,1.5464,40.96
44,1.6438,38.50,1.5409,42.17
45,1.6044,38.35,1.5599,43.37
46,1.6722,37.89,1.6625,38.55
47,1.6593,37.74,1.5521,39.76
48,1.6026,42.11,1.5929,42.17
49,1.6558,39.85,1.5812,43.37
50,1.6280,39.55,1.5980,43.37
